HoursInterval,NumberOfFlights,DelayedMoreThan15MinPercentage,CancelledPercentage,DivertedPercentage
0001-0559,301532,8.1,1.5,0.2
0600-0659,791343,8.2,1.3,0.2
0700-0759,766852,10.4,1.2,0.2
0800-0859,756252,12.1,1.1,0.2
0900-0959,682446,13.5,1.1,0.2
1000-1059,693735,14.6,1.1,0.2
1100-1159,699426,15.7,1.1,0.3
1200-1259,681773,16.8,1.1,0.3
1300-1359,684727,18.0,1.2,0.3
1400-1459,629389,19.9,1.3,0.3
1500-1559,693871,20.8,1.3,0.3
1600-1659,644768,22.1,1.4,0.3
1700-1759,753012,23.5,1.5,0.3
1800-1859,638006,25.2,1.6,0.2
1900-1959,622637,24.8,1.6,0.2
2000-2059,533217,25.0,1.6,0.2
2100-2159,342296,22.9,1.7,0.2
2200-2259,280295,20.4,1.5,0.2
2300-2359,96702,19.3,1.3,0.2
