Year,Month,NumberOfFlights,DelayedMoreThan15MinPercentage,CancelledPercentage,DivertedPercentage
2016,1,445827,15.9,2.6,0.2
2016,2,423889,14.6,1.6,0.2
2016,3,479122,17.2,1.0,0.2
2016,4,461630,14.4,0.9,0.2
2016,5,479358,15.7,0.5,0.3
2016,6,487637,20.6,1.0,0.4
2016,7,502457,22.6,1.9,0.4
2016,8,498347,20.8,1.4,0.3
2016,9,454878,14.0,0.3,0.2
2016,10,472626,13.4,1.0,0.1
2016,11,450938,13.1,0.3,0.2
2016,12,460949,22.5,1.6,0.3
2017,1,450017,21.7,2.0,0.4
2017,2,410517,15.7,1.5,0.3
2017,3,488597,18.1,1.7,0.2
2017,4,468329,19.7,1.6,0.2
2017,5,486483,19.9,0.8,0.2
2017,6,494266,22.4,1.1,0.3
2017,7,509070,21.6,1.1,0.3
2017,8,510451,20.5,2.2,0.3
2017,9,458727,12.8,3.3,0.2
2017,10,479797,14.4,0.7,0.2
2017,11,454162,11.3,0.3,0.1
2017,12,464205,18.4,1.1,0.2
